experiment,Date,Time,Months,Ring,Plot,Rep,Mesh,Trt,InitialMass.g,RemainingMass.g,propMassRem,propMassRem.trans
expt1,2013-08-23,3,3.2,R1,1,1,2mm,elevated,2.07,0.95,0.4589371980676329,0.7442890620075545
expt1,2013-08-23,3,3.2,R1,1,2,2mm,elevated,2,1.09,0.545,0.830459135904746
expt1,2013-08-23,3,3.2,R1,2,1,2mm,elevated,2.03,1.17,0.5763546798029557,0.8620527685004343
expt1,2013-08-23,3,3.2,R1,2,2,2mm,elevated,2.04,0.99,0.4852941176470588,0.7706901599934819
expt1,2013-08-23,3,3.2,R1,3,1,2mm,elevated,2.1,1.12,0.5333333333333333,0.8187562376025609
expt1,2013-08-23,3,3.2,R1,3,2,2mm,elevated,2,1.11,0.555,0.8405096883913217
expt1,2013-08-23,3,3.2,R1,4,1,2mm,elevated,2.06,1.09,0.529126213592233,0.814540874744146
expt1,2013-08-23,3,3.2,R1,4,2,2mm,elevated,2.05,1.15,0.5609756097560976,0.8465259329173391
expt1,2013-08-23,3,3.2,R2,1,1,2mm,ambient,2.04,1.06,0.5196078431372549,0.8050110357350142
expt1,2013-08-23,3,3.2,R2,1,2,2mm,ambient,2.03,0.99,0.4876847290640394,0.773081646917007
expt1,2013-08-23,3,3.2,R2,2,1,2mm,ambient,2.01,1.04,0.5174129353233832,0.8028146204977019
expt1,2013-08-23,3,3.2,R2,2,2,2mm,ambient,2.02,1.03,0.5099009900990099,0.7952998006707594
expt1,2013-08-23,3,3.2,R2,3,1,2mm,ambient,2,0.97,0.485,0.7703959124857098
expt1,2013-08-23,3,3.2,R2,3,2,2mm,ambient,2.02,1.04,0.5148514851485149,0.8002518332412747
expt1,2013-08-23,3,3.2,R2,4,1,2mm,ambient,2.02,1.01,0.5,0.7853981633974484
expt1,2013-08-23,3,3.2,R2,4,2,2mm,ambient,2.04,1.02,0.5,0.7853981633974484
expt1,2013-08-23,3,3.2,R3,1,1,2mm,ambient,2.01,1.12,0.5572139303482588,0.842737692556452
expt1,2013-08-23,3,3.2,R3,1,2,2mm,ambient,2.07,1.02,0.4927536231884058,0.7781515328904888
expt1,2013-08-23,3,3.2,R3,2,1,2mm,ambient,2,1.08,0.54,0.8254409534142778
expt1,2013-08-23,3,3.2,R3,2,2,2mm,ambient,2,1.22,0.61,0.8963053986458455
