experiment,Date,Time,Months,Ring,Plot,Trt,prevTrt,psyllid,InitialMass.g,RemainingMass.g,propMassRem,propMassRem.trans
expt2,2017-12-18,4,3.8,R1,1,elevated,aCO2,noPsyl,1.9,1.56,0.8210526315789475,1.134018809986248
expt2,2017-12-18,4,3.8,R1,1,elevated,aCO2,Psyl,2.02,1.6,0.7920792079207921,1.0973195516735663
expt2,2017-12-18,4,3.8,R1,1,elevated,eCO2,noPsyl,1.93,1.57,0.8134715025906736,1.124209693019394
expt2,2017-12-18,4,3.8,R1,1,elevated,eCO2,Psyl,1.94,1.47,0.7577319587628866,1.0561726356615626
expt2,2017-12-18,4,3.8,R1,2,elevated,aCO2,noPsyl,1.96,1.51,0.7704081632653061,1.0711018165563244
expt2,2017-12-18,4,3.8,R1,2,elevated,aCO2,Psyl,2.01,1.56,0.7761194029850748,1.077921807205662
expt2,2017-12-18,4,3.8,R1,2,elevated,eCO2,noPsyl,2,1.49,0.745,1.041443039864522
expt2,2017-12-18,4,3.8,R1,2,elevated,eCO2,Psyl,2.01,1.56,0.7761194029850748,1.077921807205662
expt2,2017-12-18,4,3.8,R1,3,elevated,aCO2,noPsyl,1.99,1.44,0.7236180904522613,1.0172345936025335
expt2,2017-12-18,4,3.8,R1,3,elevated,aCO2,Psyl,1.98,1.51,0.7626262626262627,1.0619040854190398
expt2,2017-12-18,4,3.8,R1,3,elevated,eCO2,noPsyl,2.05,1.53,0.7463414634146343,1.0429832410501843
expt2,2017-12-18,4,3.8,R1,3,elevated,eCO2,Psyl,1.92,1.38,0.71875,1.011806460769911
expt2,2017-12-18,4,3.8,R1,4,elevated,aCO2,noPsyl,2.01,1.51,0.7512437810945275,1.0486349407319553
expt2,2017-12-18,4,3.8,R1,4,elevated,aCO2,Psyl,2.06,1.62,0.7864077669902912,1.0903664882336777
expt2,2017-12-18,4,3.8,R1,4,elevated,eCO2,noPsyl,1.91,1.59,0.8324607329842932,1.1490924975479264
expt2,2017-12-18,4,3.8,R1,4,elevated,eCO2,Psyl,1.96,1.53,0.7806122448979592,1.0833304197164844
expt2,2017-12-18,4,3.8,R2,1,ambient,aCO2,noPsyl,1.99,1.57,0.7889447236180905,1.093468272653239
expt2,2017-12-18,4,3.8,R2,1,ambient,aCO2,Psyl,1.93,1.51,0.7823834196891192,1.0854735099549546
expt2,2017-12-18,4,3.8,R2,1,ambient,eCO2,noPsyl,2.05,1.59,0.7756097560975611,1.0773107368252535
expt2,2017-12-18,4,3.8,R2,1,ambient,eCO2,Psyl,1.91,1.41,0.7382198952879581,1.033698617221206
expt2,2017-12-18,4,3.8,R2,2,ambient,aCO2,noPsyl,1.99,1.48,0.7437185929648241,1.0399742789696549
expt2,2017-12-18,4,3.8,R2,2,ambient,aCO2,Psyl,2.03,1.58,0.7783251231527095,1.0805722174036132
expt2,2017-12-18,4,3.8,R2,2,ambient,eCO2,noPsyl,1.98,1.4,0.7070707070707071,0.9988978232505196
expt2,2017-12-18,4,3.8,R2,2,ambient,eCO2,Psyl,1.93,1.42,0.7357512953367875,1.030895104591952
expt2,2017-12-18,4,3.8,R2,3,ambient,aCO2,noPsyl,1.92,1.51,0.7864583333333334,1.0904281809156449
expt2,2017-12-18,4,3.8,R2,3,ambient,aCO2,Psyl,1.94,1.49,0.7680412371134021,1.0682929266945616
expt2,2017-12-18,4,3.8,R2,3,ambient,eCO2,noPsyl,1.98,1.48,0.7474747474747475,1.0442865168228272
expt2,2017-12-18,4,3.8,R2,3,ambient,eCO2,Psyl,2.03,1.65,0.812807881773399,1.1233584588488468
expt2,2017-12-18,4,3.8,R2,4,ambient,aCO2,noPsyl,1.93,1.53,0.7927461139896373,1.0981417160685987
