OTU	kingdom	phylum	class	order	family	genus	species	n	score	SH_species	SH_gb_acc	SH_sh_acc	SH_type	identity	coverage	trophicMode	guild	confidenceRanking	growthForm	trait	notes	citationSource	unite_db_version	date_assigned
ITSall_OTUa_10318	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Cyphellophoraceae	Cyphellophora	Cyphellophora_fusarioides	1	1	Cyphellophora_fusarioides	KC455239	SH1636088.08FU	refs	0.989189189189189	1	Pathotroph-Saprotroph	Animal Pathogen-Undefined Saprotroph	Probable	Facultative Yeast-Microfungus	NULL	Consult the current literature for updated names on this group that included the Black Yeasts; Some species are likely opportunistic human pathogen (Irinyi et al. 2015)	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Irinyi L, et al. 2015. Medical Mycology 53:313-337 ((https://doi.org/10.1093/mmy/myv008))	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_1341	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	Cutaneotrichosporon_smithiae	1	1	Cutaneotrichosporon_smithiae	AF444397	SH1616878.08FU	refs	1	1	NA	NA	NA	NA	NA	NA	NA	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_1375	Fungi	Ascomycota	Leotiomycetes	Helotiales	Vibrisseaceae	Phialocephala	Phialocephala_humicola	1	1	Phialocephala_humicola	AF486131	SH1517984.08FU	refs	1	1	Symbiotroph	Endophyte	Highly Probable	Microfungus	NULL	Dark Septate Endophyte, known from plant roots.	Newsham KK. 2011. New Phytologist 190:783-793 ((https://doi.org/10.1111/j.1469-8137.2010.03611.x)) (as dark septate root endophytes)	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_1504	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Podospora	Podospora_excentrica	1	1	Podospora_excentrica	MH863030	SH1659432.08FU	reps	1	1	Saprotroph	Dung Saprotroph	Highly Probable	Microfungus	NULL	NULL	Bell A. 1983. Dung Fungi: An Illustrated Guide to Coprophilous Fungi in New Zealand. Victoria University Press, Wellington (ISBN: 978-0864730015)	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_1737	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella_sublilacina	1	1	Tomentella_sublilacina	UDB003342	SH1502519.08FU	refs	1	1	Symbiotroph	Ectomycorrhizal	Highly Probable	Corticioid	NULL	NULL	Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_1793	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Albifimbria	Albifimbria_verrucaria	1	1	Albifimbria_sp	MK018251	SH1567499.08FU	reps	1	1	NA	NA	NA	NA	NA	NA	NA	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_1829	Fungi	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Gyrothrix	Gyrothrix_eucalypti	1	1	Gyrothrix_eucalypti	MN562110	SH3590309.08FU	reps	0.993975903614458	1	NA	NA	NA	NA	NA	NA	NA	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_2244	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella_cystojenkinii	1	1	Mortierellaceae_sp	HQ445985	SH1210825.08FU	reps_singleton	1	1	Saprotroph-Symbiotroph	Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph	Probable	Microfungus	NULL	Saprobic in soil and thus frequenctly isolated from soil and material contaminated with soil such as hay or rotten silage and spoil tips (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Purahong W, et al. 2016. Molecular Ecology 25:4059-4074 ((https://doi.org/10.1111/mec.13739))	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_2247	Fungi	Basidiomycota	Agaricomycetes	Phallales	Clathraceae	Clathrus	Clathrus_archeri	1	1	Clathrus_archeri	MH380189	SH1561844.08FU	reps	1	1	Saprotroph	Undefined Saprotroph	Probable	Clathroid	NULL	Common name - stinkhorn	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
ITSall_OTUa_2468	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe_luteobrunnea	1	1	Inocybe_luteobrunnea	KX073580	SH1651339.08FU	refs	0.994871794871795	1	Symbiotroph	Ectomycorrhizal	Highly Probable	Agaricoid	NULL	Sensu stricto (Matheny 2009).	Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Matheny PB. 2009. McIlvainea 18:11-21 ((https://namyco.org/docs/3_Matheny.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))	sh_general_release_dynamic_s_10.05.2021	Thu Jul  8 14:28:58 2021
